,0,1
0,WSJ,dory_carrharris
1,WSJ,debsontag
2,WSJ,JasonJedlinski
3,WSJ,lyazel
4,WSJ,kkjschmidt
5,WSJ,cli6cli6
6,WSJ,KevinDubouis
7,WSJ,Anthony
8,WSJ,nicnguyen
9,WSJ,RobinKwong
10,WSJ,dory_carrharris
11,WSJ,debsontag
12,WSJ,JasonJedlinski
13,WSJ,lyazel
14,WSJ,kkjschmidt
15,WSJ,cli6cli6
16,WSJ,KevinDubouis
17,WSJ,Anthony
18,WSJ,nicnguyen
19,WSJ,RobinKwong
20,WSJ,dory_carrharris
21,WSJ,debsontag
22,WSJ,JasonJedlinski
23,WSJ,lyazel
24,WSJ,kkjschmidt
25,WSJ,cli6cli6
26,WSJ,KevinDubouis
27,WSJ,Anthony
28,WSJ,nicnguyen
29,WSJ,RobinKwong
30,WSJ,dory_carrharris
31,WSJ,debsontag
32,WSJ,JasonJedlinski
33,WSJ,lyazel
34,WSJ,kkjschmidt
35,WSJ,cli6cli6
36,WSJ,KevinDubouis
37,WSJ,Anthony
38,WSJ,nicnguyen
39,WSJ,RobinKwong
40,WSJ,dory_carrharris
41,WSJ,debsontag
42,WSJ,JasonJedlinski
43,WSJ,lyazel
44,WSJ,kkjschmidt
45,WSJ,cli6cli6
46,WSJ,KevinDubouis
47,WSJ,Anthony
48,WSJ,nicnguyen
49,WSJ,RobinKwong
50,WSJ,dory_carrharris
51,WSJ,debsontag
52,WSJ,JasonJedlinski
53,WSJ,lyazel
54,WSJ,kkjschmidt
55,WSJ,cli6cli6
56,WSJ,KevinDubouis
57,WSJ,Anthony
58,WSJ,nicnguyen
59,WSJ,RobinKwong
60,WSJ,dory_carrharris
61,WSJ,debsontag
62,WSJ,JasonJedlinski
63,WSJ,lyazel
64,WSJ,kkjschmidt
65,WSJ,cli6cli6
66,WSJ,KevinDubouis
67,WSJ,Anthony
68,WSJ,nicnguyen
69,WSJ,RobinKwong
70,WSJ,dory_carrharris
71,WSJ,debsontag
72,WSJ,JasonJedlinski
73,WSJ,lyazel
74,WSJ,kkjschmidt
75,WSJ,cli6cli6
76,WSJ,KevinDubouis
77,WSJ,Anthony
78,WSJ,nicnguyen
79,WSJ,RobinKwong
80,WSJ,dory_carrharris
81,WSJ,debsontag
82,WSJ,JasonJedlinski
83,WSJ,lyazel
84,WSJ,kkjschmidt
85,WSJ,cli6cli6
86,WSJ,KevinDubouis
87,WSJ,Anthony
88,WSJ,nicnguyen
89,WSJ,RobinKwong
90,WSJ,dory_carrharris
91,WSJ,debsontag
92,WSJ,JasonJedlinski
93,WSJ,lyazel
94,WSJ,kkjschmidt
95,WSJ,cli6cli6
96,WSJ,KevinDubouis
97,WSJ,Anthony
98,WSJ,nicnguyen
99,WSJ,RobinKwong
100,WSJ,dory_carrharris
101,WSJ,debsontag
102,WSJ,JasonJedlinski
103,WSJ,lyazel
104,WSJ,kkjschmidt
105,WSJ,cli6cli6
106,WSJ,KevinDubouis
107,WSJ,Anthony
108,WSJ,nicnguyen
109,WSJ,RobinKwong
110,WSJ,dory_carrharris
111,WSJ,debsontag
112,WSJ,JasonJedlinski
113,WSJ,lyazel
114,WSJ,kkjschmidt
115,WSJ,cli6cli6
116,WSJ,KevinDubouis
117,WSJ,Anthony
118,WSJ,nicnguyen
119,WSJ,RobinKwong
