,0,1
0,FT,thrustlondon
1,FT,SteveBirdNUJ
2,FT,lilahrap
3,FT,davidallengreen
4,FT,sdbernard
5,FT,cornishft
6,FT,donweinland
7,FT,MsHannahMurphy
8,FT,KangHexin
9,FT,KyriakosGeorge
10,FT,ifwross
11,FT,GregoryBollibot
12,FT,emmaboyde
13,FT,RachelTaube
14,FT,GaryRSilverman
15,FT,BillyEhrenberg
16,FT,Frances_Coppola
17,FT,martinbrice1
18,FT,JARennison
19,FT,edwinheathcote
20,FT,ryanngastwirth
21,FT,Petercampbell1
22,FT,aliya__ram
23,FT,greenmiranda
24,FT,jdye
25,FT,JavierespFT
26,FT,gideon_long
27,FT,MehreenKhn
28,FT,adamsamson
29,FT,davidjlynch
30,FT,janeecroft
31,FT,NicFildes
32,FT,joshspero
33,FT,hancocktom
34,FT,theboysmithy
35,FT,nilanjanaroy
36,FT,Jderbyshire
37,FT,chealie
38,FT,EmDunks
39,FT,annaknicolaou
40,FT,alicemuwu
41,FT,alexandrascaggs
42,FT,HornbyLucy
43,FT,charles_clover
44,FT,shannonzoe11
45,FT,LaurenLeatherby
46,FT,madhumita29
47,FT,YuanfenYang
48,FT,hheals
49,FT,LaurenFedor
50,FT,patricianilsson
51,FT,bryanhimself
52,FT,mjruehl
53,FT,maxseddon
54,FT,officeofjane
55,FT,tom_griggs
56,FT,HarrietAgnew
57,FT,moiseiwitsch
58,FT,louiseflucas
59,FT,KuperSimon
60,FT,AttractaMooney
61,FT,JoshuaChaffin
62,FT,MariaFitz1
63,FT,NicholasMegaw
64,FT,ChloeNCornish
65,FT,JamesShotter
66,FT,gillplimmer1
67,FT,davidcblood
68,FT,PSMcClean
69,FT,ArthurBeesley
70,FT,paul_d_gould
71,FT,BondHack
72,FT,chrisflood_FTfm
73,FT,gordonersmith
74,FT,WaldmeirPatti
75,FT,fthealth
76,FT,robowers
77,FT,kinura
78,FT,C_BruceLockhart
79,FT,SladeJon
80,FT,ftforums
81,FT,urshlier
82,FT,MalcolmMoore
83,FT,VanessaHoulder1
84,FT,LHSummers
85,FT,elerianm
86,FT,tomhannen
87,FT,RanaForoohar
88,FT,anjahuja
89,FT,simon_schama
90,FT,MartinSLewis
91,FT,federicacocco
92,FT,griseldamb
93,FT,RaphAbraham
94,FT,ncbrooker
95,FT,AIMGilmour
96,FT,jgrovum
97,FT,callumlocke
98,FT,grimes_ce
99,FT,patrickjenkins_
100,FT,gemmatetlow
101,FT,theresa_may
102,FT,michaelgove
103,FT,AimeePKeane
104,FT,mdc
105,FT,nikkeilive
106,FT,NAR
107,FT,benmarinojourno
108,FT,jswatz
109,FT,philipstephens
110,FT,meyer_g6
111,FT,SandersonRach
112,FT,battlelaura
113,FT,SebastianEPayne
114,FT,JancisRobinson
115,FT,PrimeministerGR
116,FT,JunckerEU
117,FT,atsipras
118,FT,tsipras_eu
119,FT,Ana_elizabeth6
120,FT,hugorifkind
121,FT,Hugodixon
122,FT,peter_tl
123,FT,hannahdormido
124,FT,mariacrawford74
125,FT,johnsunyer
126,FT,rkapkap
127,FT,naomi_rovnick
128,FT,RichardBlackden
129,FT,cynthiao
130,FT,Jane_Owen
131,FT,CGAThompson
132,FT,LauraNoonanFT
133,FT,siva_thasan
134,FT,mamtabadkar
135,FT,AChilkoti
136,FT,neilos49
137,FT,MaggieFick
138,FT,NathalieThomas3
139,FT,a_zeisler
140,FT,jimbrunsden
141,FT,ndreasp
142,FT,MESandbu
143,FT,nikkei
144,FT,clivecookson
145,FT,aqbyrne
146,FT,gabewildau
147,FT,jellison
148,FT,daviesally
149,FT,ErikaSolomon
150,FT,Najmeh_Tehran
151,FT,GautamMalkani
152,FT,DyerGeoff
153,FT,NeilRBuckley
154,FT,nicoleabullock
155,FT,Petetweets1
156,FT,MPJVincent
157,FT,lindsfortado
158,FT,osullivan65Tom
159,FT,OilSheppard
160,FT,hjesanderson
161,FT,adamjones140
162,FT,confordpark
163,FT,MerrynSW
164,FT,deniselaw_
165,FT,JoelLewin
166,FT,EmikoTerazono
167,FT,alekswis
168,FT,kadhim
169,FT,Gilesyb
170,FT,M_C_Klein
171,FT,BillClinton
172,FT,Niketa
173,FT,FLOTUS
174,FT,FLOTUS44
175,FT,POTUS
176,FT,POTUS44
177,FT,V_Kortekaas
178,FT,katie_martin_fx
179,FT,darrendodd
180,FT,mj_stott
181,FT,johnthornhillft
182,FT,gilliantett
183,FT,JudithREvans
184,FT,John_Ridding
185,FT,muradahmed
186,FT,pilitaclark
187,FT,jeevanvasagar
188,FT,christinespolar
189,FT,Sam1Fleming
190,FT,AndyBounds
191,FT,carola_hoyos
192,FT,scott_abbie
193,FT,JamilAnderlini
194,FT,IsabelBerwick
195,FT,SophiaGrene
196,FT,emmalbowkett
197,FT,JP_Rathbone
198,FT,metcalfeanna
199,FT,HannahBish_
200,FT,markvdvd
201,FT,James_Wilson_UK
202,FT,TRtravels
203,FT,JKynge
204,FT,TobiasBuckFT
205,FT,edmaughan
206,FT,LizziePaton
207,FT,VVFriedman
208,FT,rmilneNordic
209,FT,jburnmurdoch
210,FT,LMJTuck
211,FT,Emmanusquelle
212,FT,AndresSchipani
213,FT,valentinaromei
214,FT,JohnReedwrites
215,FT,kimpao
216,FT,North2East
217,FT,SteveJohnson000
218,FT,SionaJ
219,FT,AJack
220,FT,DavidOakleyNews
221,FT,FD
222,FT,sindap
223,FT,CamillaHallNYC
224,FT,TradingJeremy
225,FT,AliceFishburn
226,FT,JaninaConboye
227,FT,ChassNews
228,FT,JavierBlas
229,FT,carolinebinham
230,FT,rbrtrmstrng
231,FT,miss_marriage
232,FT,oliver_ralph
233,FT,SteveNickSmith
234,FT,GeorgeWParker
235,FT,KatrinaManson
236,FT,khalafroula
237,FT,TanyaPowley
238,FT,umairh
239,FT,KatrinaNation
240,FT,elrufai
241,FT,jaredbkeller
242,FT,omar_quraishi
243,FT,EricCantor
244,FT,SamRo
245,FT,bbclysedoucet
246,FT,BenjaminHarvey
247,FT,ObsoleteDogma
248,FT,TonyRobbins
249,FT,WilliamsJon
250,FT,JamesGRickards
251,FT,fleetstreetfox
252,FT,JonahLupton
253,FT,RobinSharma
254,FT,ReutersJamie
255,FT,bbcnickrobinson
256,FT,ChelseaClinton
257,FT,BlogsofWar
258,FT,ChukaUmunna
259,FT,Shahidmasooddr
260,FT,D_Blanchflower
261,FT,AlbertoNardelli
262,FT,SteveCase
263,FT,tomgara
264,FT,robertosaviano
265,FT,javiersolana
266,FT,suttonnick
267,FT,edballs
268,FT,memetsimsek
269,FT,tom_watson
270,FT,greta
271,FT,carlbildt
272,FT,lindayueh
273,FT,russian_market
274,FT,SpeakerBoehner
275,FT,narendramodi
276,FT,CoryBooker
277,FT,riotta
278,FT,ReformedBroker
279,FT,hblodget
280,FT,TheStalwart
281,FT,benyt
282,FT,nycjim
283,FT,bmclannahan
284,FT,JosephineCumbo
285,FT,JamieSmythF
286,FT,DanielThomasLDN
287,FT,leylaboulton
288,FT,bydavidcrow
289,FT,brookeamasters
290,FT,NatalieWhittle
291,FT,c_scott75
292,FT,arappeport
293,FT,hebamks
294,FT,PaulTaylorNYC
295,FT,serenatarling
296,FT,JamesPoliti
297,FT,alexebarker
298,thrustlondon,HarrietJArnold
299,thrustlondon,helenbarrett
300,thrustlondon,BroadgateE
301,thrustlondon,BCO_UK
302,thrustlondon,wabbey
303,thrustlondon,SearcysGherkin
304,thrustlondon,Landingfortytwo
305,thrustlondon,edwinheathcote
306,thrustlondon,StPaulsLondon
307,thrustlondon,SG_SkyGarden
308,thrustlondon,TheLondonEye
309,thrustlondon,BatterseaPwrStn
310,thrustlondon,cityoflondon
311,thrustlondon,CTBUH
312,thrustlondon,archpaper
313,thrustlondon,Taffyagent
314,thrustlondon,TowerOfLondon
315,thrustlondon,bttowerlondon
316,thrustlondon,TowerBridge
317,thrustlondon,FinancialTimes
318,thrustlondon,FT
319,thrustlondon,skyscrapernews
320,thrustlondon,70StMaryAxe
321,thrustlondon,ScalpelLondon
322,thrustlondon,The_Monument
323,thrustlondon,22Bishopsgate
324,thrustlondon,CheesegraterLdn
325,thrustlondon,HeronTowerEC2
326,thrustlondon,shardview
327,thrustlondon,LondonGherkin
328,thrustlondon,TheShardLondon
329,thrustlondon,pilitaclark
330,thrustlondon,ftworkcareers
331,thrustlondon,Skapinker
332,thrustlondon,IsabelBerwick
333,thrustlondon,emmavj
334,thrustlondon,andrewtghill
335,SteveBirdNUJ,MaryBoustedNEU
336,SteveBirdNUJ,fakehistoryhunt
337,SteveBirdNUJ,RuthAddicott
338,SteveBirdNUJ,HarleyShah
339,SteveBirdNUJ,BBCTheArchers
340,SteveBirdNUJ,holski_beat
341,SteveBirdNUJ,reborn_vlad
342,SteveBirdNUJ,union_pakistan
343,SteveBirdNUJ,darren_conway
344,SteveBirdNUJ,DanielLevitt32
345,SteveBirdNUJ,kenfoxe
346,SteveBirdNUJ,carolinecaloway
347,SteveBirdNUJ,juliangough
348,SteveBirdNUJ,JohnBoyega
349,SteveBirdNUJ,kateconger
350,SteveBirdNUJ,warmbrietoast
351,SteveBirdNUJ,MarkMyWordsNews
352,SteveBirdNUJ,RoArquette
353,SteveBirdNUJ,KeiraGnomez
354,SteveBirdNUJ,PattyArquette
355,SteveBirdNUJ,grahamlithgow
356,SteveBirdNUJ,rosie_col_
357,SteveBirdNUJ,ms_kitka
358,SteveBirdNUJ,DanielFalush
359,SteveBirdNUJ,amanbatheja
360,SteveBirdNUJ,JanetEastham
361,SteveBirdNUJ,CMOIreland
362,SteveBirdNUJ,laoneill111
363,SteveBirdNUJ,Gerard_McCarthy
364,SteveBirdNUJ,PipSinks
365,SteveBirdNUJ,nandorvila
366,SteveBirdNUJ,JasonReidUK
367,SteveBirdNUJ,aznbrutalistgrl
368,SteveBirdNUJ,JENFL23
369,SteveBirdNUJ,BronteParsonage
370,SteveBirdNUJ,Miridoesntweet
371,SteveBirdNUJ,skaijackson
372,SteveBirdNUJ,kirstendunst
373,SteveBirdNUJ,zinovievletter
374,SteveBirdNUJ,sunnysingh_n6
375,SteveBirdNUJ,PadraigBelton
376,SteveBirdNUJ,FMSNewMedia
377,SteveBirdNUJ,NSSN_AntiCuts
378,SteveBirdNUJ,DeNewsGuild
379,SteveBirdNUJ,WrightUps
380,SteveBirdNUJ,OS_Guild
381,SteveBirdNUJ,socialistbangrs
382,SteveBirdNUJ,azrepublicguild
383,SteveBirdNUJ,k8_lister
384,SteveBirdNUJ,Jim_Sheridan
385,SteveBirdNUJ,ThePhoenixMag
386,SteveBirdNUJ,Politicat1848
387,SteveBirdNUJ,LLW902
388,SteveBirdNUJ,boneysoups
389,SteveBirdNUJ,JimCognito2016
390,SteveBirdNUJ,RPCorpIntl
391,SteveBirdNUJ,Santandave1
392,SteveBirdNUJ,daniellemariiia
393,SteveBirdNUJ,EvilGalProds
394,SteveBirdNUJ,akalamusic
395,SteveBirdNUJ,_OliviaBlake
396,SteveBirdNUJ,SteffanBlayney
397,SteveBirdNUJ,mattholehouse
398,SteveBirdNUJ,LyricFeature
399,SteveBirdNUJ,_tony_c_
400,SteveBirdNUJ,Judeet88
401,SteveBirdNUJ,alexsobel
402,SteveBirdNUJ,katewillett
403,SteveBirdNUJ,AineMcMahon
404,SteveBirdNUJ,LabourGRT
405,SteveBirdNUJ,TracyBrabin
406,SteveBirdNUJ,catcontentonly
407,SteveBirdNUJ,The_Crox
408,SteveBirdNUJ,CambPeckLab
409,SteveBirdNUJ,IFI_Dub
410,SteveBirdNUJ,JohnHannah
411,SteveBirdNUJ,liz_okokon
412,SteveBirdNUJ,pastachips
413,SteveBirdNUJ,keinegurke_
414,SteveBirdNUJ,graham_budden
415,SteveBirdNUJ,AlmostDrStoil
416,SteveBirdNUJ,PeteApps
417,SteveBirdNUJ,prossertj
418,SteveBirdNUJ,PippaCrerar
419,SteveBirdNUJ,EllenBarkin
420,SteveBirdNUJ,Nadine_Writes
421,SteveBirdNUJ,LiamThorpECHO
422,SteveBirdNUJ,adilray
423,SteveBirdNUJ,NadiaWhittomeMP
424,SteveBirdNUJ,khalafroula
425,SteveBirdNUJ,zarahsultana
426,SteveBirdNUJ,AOC
427,SteveBirdNUJ,NicholasMegaw
428,SteveBirdNUJ,catrutterpooley
429,SteveBirdNUJ,_SJPeace_
